CURRENTDAY	Irradiation	Tmin	Tmax	VapourPressure	WindSpeed	Precipitation
16.07.2000	8.481188774108887	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	7.482669830322266	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	7.7043232917785645	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	8.86706829071045	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	9.271872520446777	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	9.091974258422852	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	8.91359806060791	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	9.116825103759766	17.72384	26.35475	17.084253	2.60529	0.0
16.07.2000	9.44607162475586	17.72384	26.35475	17.084253	2.60529	0.0
17.07.2000	19.138763427734375	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	17.702003479003906	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	16.67375373840332	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	17.505722045898438	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	18.963808059692383	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	18.98270034790039	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	15.58217716217041	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	13.640941619873047	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	15.005471229553223	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	17.520177841186523	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	19.64504051208496	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	17.573780059814453	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	12.463865280151367	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	13.543290138244629	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	16.507883071899414	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	18.985069274902344	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	20.06096076965332	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	17.59320640563965	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	15.439667701721191	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	17.612886428833008	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	18.04331398010254	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	18.92241096496582	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	19.74970245361328	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	19.070232391357422	14.25632	26.14457	9.581487	3.2305593	0.0
17.07.2000	19.079565048217773	14.25632	26.14457	9.581487	3.2305593	0.0
18.07.2000	18.717845916748047	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	17.325044631958008	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	16.31926918029785	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	17.138158798217773	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	18.5512638092041	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	18.544658660888672	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	15.242780685424805	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	13.349642753601074	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	14.693675994873047	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	17.15213394165039	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	19.147523880004883	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	17.093509674072266	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	12.161375999450684	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	13.255928993225098	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	16.16051483154297	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	18.544736862182617	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	19.505905151367188	13.10048	31.0838	12.887768	1.8758086	0.0
18.07.2000	17.10997772216797	13.10048	31.0838	12.887768	1.8758086	0.0
